"Field1_Text_Text","Field1_Link_Link"
"LOOKING FOR A SCENIC DESIGN ASSISTANT/INTERN IN LB","https://losangeles.craigslist.org/lgb/cwg/d/long-beach-looking-for-scenic-design/7060560951.html"
"Need someone who can do all 3 - Videography/Editing/Motion Graphics","https://losangeles.craigslist.org/wst/cwg/d/los-angeles-need-someone-who-can-do-all/7060382240.html"
"Looking for content creator/graphic designer","https://sandiego.craigslist.org/esd/crg/d/san-diego-looking-for-content-creator/7060365986.html"
"Pregnant? Help revolutionize maternal health for women of color! Earn","https://losangeles.craigslist.org/lac/cpg/d/los-angeles-pregnant-help-revolutionize/7060300202.html"
"I want a e-commerce website built","https://portland.craigslist.org/clk/cpg/d/vancouver-want-e-commerce-website-built/7060542627.html"
"Make money on the side selling websites ( small gig )","https://newyork.craigslist.org/brk/cpg/d/brooklyn-make-money-on-the-side-selling/7060712244.html"
"Weekend Graphic Designer","https://longisland.craigslist.org/crg/d/great-neck-weekend-graphic-designer/7060533866.html"
"Lost Earring - Need for designer to replicate earring","https://boston.craigslist.org/gbs/crg/d/somerville-lost-earring-need-for/7060436073.html"
"Seeking a Fulltime Video Editor W| Motion Graphics Experiecne","https://newyork.craigslist.org/que/crg/d/east-elmhurst-seeking-fulltime-video/7060355053.html"
"Pregnant? Help revolutionize maternal health for women of color! Earn","https://boston.craigslist.org/gbs/cpg/d/boston-pregnant-help-revolutionize/7060323808.html"
"Costume Designer/Stylist","https://newyork.craigslist.org/que/crg/d/long-island-city-costume-designer/7060321042.html"
"Website Design","https://newyork.craigslist.org/brx/cpg/d/bronx-website-design/7060269748.html"
"Looking for 2D animator for small animation","https://newyork.craigslist.org/brk/crg/d/brooklyn-looking-for-2d-animator-for/7060135055.html"
"Looking for C4D or 3D artist to make a simple cross section landscape.","https://newyork.craigslist.org/brk/crg/d/brooklyn-looking-for-c4d-or-3d-artist/7060130080.html"
"You Tube Graphics Wizard For Entrepreneur To Meet In Person Once/Week","https://sfbay.craigslist.org/eby/cpg/d/oakland-you-tube-graphics-wizard-for/7060624709.html"
"Seeking Packaging Designer and Fabricator","https://sfbay.craigslist.org/sfc/crg/d/san-francisco-seeking-packaging/7060602025.html"
"Web design NEEDED","https://reno.craigslist.org/cpg/d/sparks-web-design-needed/7060515694.html"
"Photoshop Job","https://sacramento.craigslist.org/cpg/d/sacramento-photoshop-job/7060504231.html"
"Writing WEB Content","https://sfbay.craigslist.org/eby/wrg/d/richmond-writing-web-content/7060443898.html"
"I'm looking to have a Website Created (San Jose Residents Only)","https://sfbay.craigslist.org/sby/cpg/d/san-jose-im-looking-to-have-website/7060443829.html"
"Pregnant? Help revolutionize maternal health for women of color! Earn","https://sfbay.craigslist.org/eby/cpg/d/alameda-pregnant-help-revolutionize/7060295464.html"
"Pregnant? Help revolutionize maternal health for women of color! Earn","https://jackson.craigslist.org/cpg/d/jackson-pregnant-help-revolutionize/7060312274.html"
