field1,field2,field3
Boudoir Model Needed,"QR Code Link to This Post
            
        
$50 per hour, typically 4 hours.

Please send a profile photo, full body photo, name and contact#.

A model release form will be required before starting.",compensation: 50/hr or $200
Paying $5 to test a finance app,"QR Code Link to This Post
            
        
I'm paying $5 to test a finance app. Email me for details.",compensation: $5
Model wanted for womenswear photoshoot/lookbook,"QR Code Link to This Post
            
        
I am a fashion designer located in Irvine (Southern California), looking for a female model for a photoshoot for E-commerce product images for my contemporary womenswear brand.  

I am looking for a model (any ethnicity) between the ages of 18-35 with a natural look, sample size (between sizes 2-6) with these measurements:

Height: at least 5’6”
Chest: 32-34 inches
Waist: 25-26 inches
Hips: 33-35 inches

Shooting will be done at a photography studio called iWink Studios, located in Irvine and shooting date is flexible dependent on model, though we would like to shoot as soon as possible.

Please send-
1.	At least 2 photos (headshot and full body shot), preferably with minimal make-up.
2.	Dress-size, and Shirt size 
3.	Bust measurements (circumference of chest and bra size)
4.	Waist measurement 
5.	Hip measurement

Model will be paid an hourly wage of $40/hr.  Photoshoot is expected to last for 5-6 hrs.  Model will also be given the resulting images, only for use for her own personal portfolio and not for publication.","compensation: $40/hr, for 4-5 hrs"
Model Needed 30-50 Female,"QR Code Link to This Post
            
        
We are looking for a female model.
Age: 30-50 ( or look like around this age)

Description: We are taking pictures for a local service provider. You will be playing the part of a home owner answering door and listening while technician describes service. 

You may also play the part of a receptionist taking a call.

We may have one other role.

Duration: 1-3 hours

Time: Saturday January 25th afternoon ish.

Details on exact time and place will be emailed to you. 

Pretty simple gig. Please send resume and pictures and include phone number. Will contact you very fast.",compensation: 250
Seeking Actresses and Models 18+,"QR Code Link to This Post
            
        
Seeking Actresses and Models 18+

References and samples available on request. Booking now.

Please apply with rates and availability. Let me know what styles and type of work you're interested in and send some sample images or a link to your credits or portfolio. 

Up to 500 dollars per session.

Fun and professional!

Competitive Pay!",compensation: up to 500 dollars a day
Seeking models and performers for a hippie themed nature photo shoot a,"QR Code Link to This Post
            
        
We are a promotional company based out of Dallas expanding to Austin!  Looking for a few models for both hippie themed all nature photo shoot project, and for performers in a few burlesque shows.  Must be able to interview in north Austin!. Need people that are open minded, comfortable in front of the camera and will good personalities.  There will be some promotional opportunities as well.  Please let me know if you are interested.  Feel free to text 727-504-3290 looking to interview immediately

This is part time",compensation: $250 to $500 per week depending on number of shoots and shows
Casting Makeup Artists,"QR Code Link to This Post
            
        
A Style company is casting a New Makeup Team for a Reality show! 


Must have experience in Glitter. 
Outgoing and motivated! 

Must be available January 31st for Test shoot casting.",compensation: If chosen
Social Media Models wanted,"QR Code Link to This Post
            
        
Talent Agent looking to take on a few more female clients who want to grow their personal brand by applying their talents to social media platforms. If interested please send pics and a brief description of why you would be a good fit.",compensation: 100 - 500 to start
IMMEDIATE INTERVIEWS FOR MODELING!!!!!!!!!,"QR Code Link to This Post
            
        
REGULAR SIZE AND PLUS SIZE WOMEN FOR MODELING!!!

Pay: $200-$300 a day / min once a week 

ALL WOMEN MUST INCLUDE THE FOLLOWING

-Name
-Phone Number
-At least 4 pictures including face and full body
-Email Address
-City where you live

PLEASE SEND PHOTOS THAT ARE NOT EDITED. IF YOU ARE NOT IN THE DTLA AREA, I DO NOT PAID GAS. I WILL DECLINE MODELS WHO ARE NOT AS PHOTOS PRESENTED.

It’s a fashion casual / sexy as a junior and missy line shoot and its a huge stepping stone for models that are wanting to break into modeling. This will be seen worldwide.On going project that needs dependable models for internet viewing, website and internet exposure. SERIOUS MODELS ONLY!!!! Thank you",compensation: **SAME DAY PAID**
Seeking Models (girl next door/newbies) 18+,"QR Code Link to This Post
            
        
Seeking Models (girl next door/newbies)  18+

Same day cash pay on spot, $$+ per session.

Please apply with rates and availability. 

Let me know what styles and type of work you're interested in and send a pic/video/link.",compensation: up to 500 dollars a day
Need licensed commercial drone video pilot ASAP,"QR Code Link to This Post
            
        
I need a licensed commercial drone video pilot who has their own equipment to come to a marina right outside brickell tomorrow Jan 23rd @1:45pm sharp.  

What I need is a drone shot of a boat leaving the marina.  A clip maybe 30sec-2min long.

If you want to do more work after that, I would need you to get to another beach very close nearby to film some drone footage of the boat while it is 40-100ft offshore.  I'd want maybe 3-5 clips of 5-10 seconds produced from this.  

Please text me to propose how much you would charge for one or more of these shots, depending on how much time you have. MUST BE COMMERCIALLY LICENSED!",compensation: Quote me based on job description
"Seeking  Models (next door/newbies) 18+ Same day cash pay on spot, $$+","QR Code Link to This Post
            
        
Seeking Models (girl next door/newbies)  18+

Same day cash pay on spot, $$+ per session.

Please apply with rates and availability. 

Let me know what styles and type of work you're interested in and send a pic/video/link.",compensation: up to 500 dollars a day
"""Gaffer"" & ""SOUND MIXER"", NON-UNION FEATURE FILM","QR Code Link to This Post
            
        
We're in need of a sound mixer for our feature that we'll be shooting in Fresno, CA. Shooting begins the 3rd week in April and runs thru the 1st week of May.",compensation: $125.00 per day.
"ISO MODELS, HAIR AND MAKE UP --TF SHOOT","QR Code Link to This Post
            
        
The photoshoot will be lifestyle photos wearing socks outside. It will be the weekend of February 15th in downtown Sacramento
Only socks will be provided, You must provide outfits and any accessories you want to wear


ISO models (Male and Female) and Hair and Make up artists for sock photoshoot in Sacramento. This will not be paid, its trade (you get a free pair of socks and your photos edited and sent to you for your time). 

The Shoot will be located in Old Sacramento and surrounding area to shoot lifestyle images showcasing some fun sock. The photos attached is to get an idea of what I am going for in the images; bright scenery and people just hanging out having a good time while wearing some cool socks. The shoot will be the weekend of February 15th (Saturday or Sunday, Exact day will be confirmed later based on participants availability).

I am looking for hair and make up artists also to help style the shoot. Models must be 18 or older. We are looking around 18-26 years of age, mixed skin tones and body types are welcome. Tasteful tattoos and piercings are ok as well.

THIS IS 18+ ONLY. There is no nudity or implied nudity involved, but I will not be shooting minors for this project. must be reliable and show up on time. If you are late we will be starting without you and you may miss out on key poses, areas, make up, hair etc.
I tend to work with the same people allot, so if we mesh well, trust me, we will do more shoots together. I have worked with many models in different shapes and forms. I have years of experience doing this and have worked with companies as well to shoot there fashion lines, products etc.

Serious inquiries only. MUST HAVE SOME EXPERIENCE IN MODELING AND/OR YOUR CRAFT. You do not have to be a pro, but at least have something to show me as your body of work... online portfolios, instagram, facebook, websites, collabs, etc.

I am a very chill person and love meeting new people. So if you want to work on this project with me, get some good exposure and have fun while were doing it please message/email me.

You can find me/view my work these ways:

www.sydneyalexphotography.com

www.facebook.com/sydneyalexphotography

@sydneyalexphotography",no pay
VIDEOGRAPHER TFP GIG,"QR Code Link to This Post
            
        
VIDEOGRAPHER WANTED FOR ART EXHIBIT/MUSIC EVENT ON THE EAST SIDE 
THIS SATURDAY JANUARY 25TH 2020 (2PM-10PM)

NETWORKING OPPORTUNITY WITH INDUSTRY PROFESSIONALS
MUST HAVE PRIOR PROFESSIONAL EXPERIENCE IN MUSIC CAPTURE/INTERVIEWING
WILL BE REQUIRED TO PRODUCE SHORT EDIT.

PLEASE SEND A LINK TO REEL AND INCLUDE YOUR NAME/CONTACT.

THANK YOU",no pay
Adult Model Wanted,"QR Code Link to This Post
            
        
Adult models wanted (18+ only). This is for various shoots, video and live events. Seeking male or female models. Flexible hours and great pay. Some of our top models make 5 to 7 thousand a month. Email a headshot and full body shot along with why you think you would be a good fit to work for the company. Looking for about 20 people to start in the next week or so. Must be outgoing and able to talk to people with great interaction. Serious inquiries only.",compensation: 5 to 7 thousand monthly
Modeling,"QR Code Link to This Post
            
        
Adult models wanted (18+ only). This is for various shoots, video and live events. Seeking male or female models. Flexible hours and great pay. Some of our top models make 5 to 7 thousand a month. Email a headshot and full body shot along with why you think you would be a good fit to work for the company. Looking for about 20 people to start in the next week or so. Must be outgoing and able to talk to people with great interaction. Serious inquiries only.",compensation: 5 to 7 thousand monthly
'Female Artistic Figure Model  Shoot,"QR Code Link to This Post
            
        
Seeking females 18+ for artistic Figure modeling shoot
Slim, athletic or curvy body types are accepted

Cash Pay: $300

This is for an online art school
Please apply here with your info and clear photos:
https://figureartschool.com/become-a-figure-model.html",compensation: Cash Pay: $300
Music Video Casting Call for 2/8 - 2/9,"QR Code Link to This Post
            
        
Music Video Casting Call 2/8 - 2/9

Calling actors in the NY area for a music video/short film for the independent recording artist Vaeda Black. The loose concept for the video is a vintage slasher film.

If you are auditioning for a lead role:

Please send, recent headshot, reel or a monologue of your choice in reply to this listing. 

Extras: Headshot and resume required. Reels or monologues are not required, but you can submit if you have them.

Location: Huntington NY

When: Saturday 2/8 & Sunday 2/9.

Call time: TBD / Morning

Please be available both two days.

Leads:

Man 1: man 18-25, caucasian

Clean cut. Some background with movement/dance

Man 2: man age 18-25, any race

Rugged and thin. No dance background required.

Bar Dancers/extras:

Men & women ages 18-25, any race, unconventional, unique looks preferred. Preferably woman 5’5 or shorter and men 5’8 or taller.

Must have a background in acting and dance/movement.

Redneck / Pickup Truck Driver :

30s and up -Very masculine/has a large build. No dance background required. **Must have a drivers license**

Wardrobe - Must supply own, with direction from the Producers.

Compensation: Travel stipend & Meals provided.",compensation: Travel stipend & Meals provided.
Social media manager,"QR Code Link to This Post
            
        
Hey,

Looking for someone comfortable with FaceTiming for 1. That’s the easiest way to communicate. Keeps you wherever you want to be in the entire world. 

Ideal person:
Post to Instagram
Put together multiple picture posts
Daily story posts
2-7 days a week depending on schedule/rate/budget per week.
I would send you pictures and videos and you post them as you see fit.
Bonus
If you can edit videos
Managing multiple accounts at the same time

Please send rates and your portfolio/reel/org you’ve done. 

Be straight up. Say what you love to do.
Say what you are amazing at.
Say what you don’t like and wont do.

Let’s have fun.

Looking forward in meeting you.

Sincerely,
Dr S.",compensation: TBD
Seeking a female to film an adult movie,"QR Code Link to This Post
            
        
Seeking a female to shoot an adult film. Pay can range from $250-1000 (depending on how long). Any questions I can answer through my email.",compensation: Pay can range from $250-1000
Looking for Fun & Happy Cowboy Hat Model Male and Female,"QR Code Link to This Post
            
        
Simple shoot basically a before and after photo with and without a hat. Waist up.
Fun cowboy hat company with a twist.. 
Need to sign release of photo. Photo will be used for website, social media,company use and on a trailer as a wrap.

Please submit photos and IG account

1 hour max ($25) per model and a FREE HAT!

Thanks Y'all!",compensation: $25 for one hour and a free hat!
Limited TIME ONLY / Seeking App feedback,"QR Code Link to This Post
            
        

Quick and simple task! Get paid $50 for 20 minutes tops of your time! 

We have a small marketing budget for 10 individuals who want to help provide app feedback, we will provide details & app link all we ask is that you download & test the service! After doing so we have a few quick survey questions to help development. 

Cash app / Venmo / paypal payment types available please ensure you have one of these types available before applying! 

Available to first 10 qualifying candidates!",compensation: 50
Looking for insanely talented web designer,"QR Code Link to This Post
            
        
I can produce a crappy Wordpress site in Pakistan for a few hundred dollars, but that's not what I want or need.

I want something good.

I want something amazing.

I want a website that looks like a million bucks.

Of course, I don't have a million bucks to pay for the website, but I have something that may be quite valuable for you, worth far more than the you'd charge for a new website.

I can grow your business.  (Note that I'm assuming you're such a fantastic designer that you have paying clients, just not enough of them.)
 
I know that I can grow your business because I own a growing ad agency.  I'll take the exact same system that works for my agency and turn it on for your business.  And keep it on for as long as we work together.  And you'll have people reaching out to you, wanting you to design for them.

Please note that while this is a strict, no-cash trade out, I'm willing to start building your business first, before you start designing for mine.  And I'm willing to continue to build your business for as long as we continue to work together.  

If you're interested, please send me a link to your very best work and your contact info, as well as the best times to reach you.",compensation: Trade out for the same business development system I use for my ad agency.
Tarot Deck Illustrator,"QR Code Link to This Post
            
        
Simple enough.  Submit one example of your idea of a good looking tarot card.  We discuss pay when we discuss future cards.",compensation: We discuss pay when we discuss future cards
"Needing a Local Business Mailing Address - Riverview, FL","QR Code Link to This Post
            
        
I need a local address near downtown Riverview, FL where I can have business mail sent while I'm out of town. I need this service for a month.
pay: $30

The address must be in Riverview, FL.",compensation: 30
